bathrooms,parking,price,rooms,size,ubication,years
2,1,"2,000,000",3,75 m²,"Av. Río Churubusco 0, Paseos De Taxqueña, Coyoacán, Distrito Federal",0 años
2,1,"2,600,000",2,64 m²,"Totonacas 510, Ajusco, Coyoacán, Distrito Federal",5
1,1,"1,367,200",2,37 m²,"Amatl, Pedregal De Santo Domingo, Coyoacán, Distrito Federal",0 años
1,1,"3,500",2,10 m²,"Jilotzingo, Pedregal De Santo Domingo, Coyoacán, Distrito Federal",
0 años,,"6,500",1,1,"Calzada De Tlalpan100, Churubusco Country Club, Coyoacán, Distrito Federal",
2,1,"7,501",3,42 m²,"San Hemeterio, Pedregal de Santa Ursula, Coyoacán, Distrito Federal",0 años
1,4,"1,650,000",2,55 m²,"Teponaxtli 15, Adolfo Ruiz Cortines, Coyoacán, Distrito Federal",0 años
2,1,"2,900,000",3,54 m²,"Rafael Oliva, San Diego Churubusco, Coyoacán, Distrito Federal",0 años
2,2,"2,250,000",5,81 m²,"Ex-Ejido De San Francisco Culhuacán, Coyoacán, Distrito Federal",0 años
3,2,"4,950,000",6,118 m²,"Calz. De Tlalpan, Santa Ursula Coapa, Coyoacán, Distrito Federal",1 años
1,1,"2,560,000",3,106 m²,"Rancho San Lorenzo 63, Los Girasoles 3, Coyoacán, Distrito Federal",36 años
2,2,"18,500",4,140 m²,"Geyser Norte, Insurgentes Cuicuilco, Coyoacán, Distrito Federal",0 años
2,1,"1,350,000",5,80 m²,"Calz. De La Viga 1915, Prado Churubusco, Coyoacán, Distrito Federal",0 años
3,3,"6,094,093",6,213 m²,"Av. El Bordo, Ex-Hacienda Coapa, Coyoacán, Distrito Federal",0 años
2,1,"4,250,000",2,82 m²,"Eje 8 Sur Popocatepetl 474, Viveros De Coyoacán, Coyoacán, Distrito Federal",
,,"10,000",1,2,"Rio Churubusco 458, Paseos De Taxqueña, Coyoacán, Distrito Federal",
2,1,"1,500,000",3,52 m²,"Culhuacán CTM CROC, Coyoacán, Distrito Federal",
2,2,"14,800",4,100 m²,"Paseo Del Rio, Paseos De Taxqueña, Coyoacán, Distrito Federal",0 años
2,1,"628,044",3,60 m²,"Rinconada De Los Escritores, Pedregal De Carrasco, Coyoacán, Distrito Federal",0 años
3,2,"15,000",5,87 m²,"Av. Pacífico, El Rosedal, Coyoacán, Distrito Federal",
1,1,"2,400,000",2,58 m²,"Calle 13 2, Prados De Coyoacán, Coyoacán, Distrito Federal",3
2,2,"12,000",2,76 m²,"Calzada Tlalpan, Parque San Andrés, Coyoacán, Distrito Federal",2000 MXN
3,3,"6,759,191",6,126 m²,"Ex-Hacienda Coapa, Coyoacán, Distrito Federal",0 años
2,1,"2,736,000",2,76 m²,"Ajusco, Coyoacán, Distrito Federal",
1,,"9,900",2,78 m²,"Rancho San Lorenzo 14, Los Girasoles 3, Coyoacán, Distrito Federal",
3,2,"12,000",5,110 m²,"C. T 20, Coapa, Alianza Popular Revolucionaria, Coyoacán, Distrito Federal",0 años
2,1,"1,161,500",3,54 m²,"2da Cerrada V. Bonfil, Presidentes Ejidales, Coyoacán, Distrito Federal",
