bathrooms,parking,price,rooms,size,ubication,years
2,,"2,700,000",2,80 m²,"Paseos De Taxqueña, Coyoacán, Distrito Federal",
1,1,"1,772,890",2,57 m²,"Los Reyes, Coyoacán, Distrito Federal",
2,2,"3,760,000",4,123 m²,"Insurgentes Cuicuilco, Coyoacán, Distrito Federal",0 años
2,2,"18,500",4,75 m²,"Adolfo Ruiz Cortines, Pedregal De Carrasco, Coyoacán, Distrito Federal",0 años
1,1,"14,000",2,58 m²,"Carreteraco 36-405, Parque San Andrés, Coyoacán, Distrito Federal",1000 MXN
1,,"1,237,000",2,60 m²,"Calzada De La Virgen 3000, STUNAM, Coyoacán, Distrito Federal",
0 años,,"23,000",2,1,"Snsn, Insurgentes Cuicuilco, Coyoacán, Distrito Federal",
2,1,"2,584,000",2,76 m²,"Zapotecas 330, Ajusco, Coyoacán, Distrito Federal",5
3,3,"7,800,000",7,210 m²,"Insurgentes Cuicuilco, Coyoacán, Distrito Federal",0 años
1,1,"7,000",2,41 m²,"Calzada De Tlalpan, El Centinela, Coyoacán, Distrito Federal",
3,2,"14,000",6,200 m²,"Toltecas, Ajusco, Coyoacán, Distrito Federal",
3,2,"3,850,000",5,103 m²,"Calzada Del Hueso, Fuentes De Coyoacán, Coyoacán, Distrito Federal",25 años
2,2,"20,000",2,70 m²,"Av Coyoacan 371, Barrio Oxtopulco Universidad, Coyoacán, Distrito Federal",5
1,1,"10,500",3,75 m²,"Rinconada Los Lagos, Edificio Gatun,pedregal De Carrasco, Coyoacan 1, Pedregal De Carrasco, Coyoacán, Distrito Federal",
1,1,"3,450,000",2,90 m²,"Paseo De Las Trojes 50, Paseos De Taxqueña, Coyoacán, Distrito Federal",4
1,1,"2,390,000",3,90 m²,"Calle E 1, Alianza Popular Revolucionaria Fovissste, Coyoacán, Distrito Federal",
2,1,"11,800",2,96 m²,"Pacifico 277, El Rosedal, Coyoacán, Distrito Federal",1
1,1,"2,100,000",2,72 m²,"Periferico Sur 3915 , Pedregal De Carrasco, Coyoacán 000, Pedregal De Carrasco, Coyoacán, Distrito Federal",
2,2,"3,790,000",2,90 m²,"Av. División Del Norte 3527, Pueblo de San Pablo Tepetlapa, Coyoacán, Distrito Federal",5
2,2,"24,000",3,125 m²,"Periferico 5146, Pedregal De Carrasco, Coyoacán, Distrito Federal",1
1,1,"2,750,000",2,75 m²,"Avenida Universidad 1900, Copilco Universidad, Coyoacán, Distrito Federal",
1,1,"9,500",2,69 m²,"Rancho Miradores 32, Colonia Ex-Ejido de Santa Úrsula Coapa, Coyoacán, Distrito Federal",1
3,2,"38,000",3,210 m²,"Malintzin 47, Del Carmen, Coyoacán, Distrito Federal",2
1,1,"3,300,000",3,82 m²,"Avenida Universidad 1953, Copilco Universidad, Coyoacán, Distrito Federal",1
2,2,"2,760,000",3,102 m²,"Cantera 7, Pueblo de los Reyes, Coyoacán, Distrito Federal",4
2,2,"19,800",3,115 m²,"Av. Universidad 1943, Barrio Oxtopulco Universidad, Coyoacán, Distrito Federal",7
1,2,"13,500",2,90 m²,"Ciudad Universitaria 2, Jardines Del Pedregal De San Ángel, Coyoacán, Distrito Federal",2
3,3,"1,350,000",4,281 m²,"Paseos Del Rio  144, Paseos De Taxqueña, Coyoacán, Distrito Federal",
1,2,"10,950",2,68 m²,"Torres De Chimalistac 42, Copilco Universidad, Coyoacán, Distrito Federal",
1,No,"11,000",1,80 m²,"Higuera 22, Coyoacán Centro, Coyoacán, Distrito Federal",Oriente
3,2,"17,500",5,125 m²,"Insurgentes Cuicuilco, Coyoacán, Distrito Federal",26 años
2,1,"2,400,000",3,70 m²,"Barrio San Francisco Culhuacán Barrio de San Juan, Coyoacán, Distrito Federal",11 años
1,1,"2,410,000",3,78 m²,"Cerro Del Agua  179, Integración Latinoamericana, Coyoacán, Distrito Federal",3
1,1,"3,350,000",2,105 m²,"Cerro Del Agua 179 1403, Copilco Universidad, Coyoacán, Distrito Federal",4
1,1,"2,907,000",2,50 m²,"Miguel Ángel De Quevedo, Atlántida, Coyoacán, Distrito Federal",
2,1,"4,700,000",3,115 m²,"Miguel Ángel De Quevedo 962, Parque San Andrés, Coyoacán, Distrito Federal",Frente
1,Sí,"11,500",3,87 m²,"Avenida Universidad  1900, Oxtopulco Universidad, Coyoacán, Distrito Federal",4
3,2,"19,500",3,108 m²,"Pacifico 155, Pueblo de los Reyes, Coyoacán, Distrito Federal",2
2,1,"2,999,000",2,92 m²,"Teponaxtli, Adolfo Ruiz Cortines, Coyoacán, Distrito Federal",
3,1,"2,900,000",2,80 m²,"Eje 10 Sur 314, Pedregal De Santo Domingo, Coyoacán, Distrito Federal",2
2,2,"22,000",4,113 m²,"Calz Tlalpan, Santa Ursula Coapa, Coyoacán, Distrito Federal",5 años
2,1,"6,500",2,57 m²,"Victorio, Pedregal de Santa Ursula, Coyoacán, Distrito Federal",
